a,b,c
	     ,7.622915e-10, -2*X^8 + 6*X^7 + 19*X^6 + 15*X^5 - 8*X^4 - 4*X^3 + 3*X^2 + 36*X - 4
	     ,8.297808e-9, 5*X^5 - 13*X^4 - 53*X^3 - 51*X^2 - 31*X - 13
	     ,8.297808e-9, 5*X^5 - 13*X^4 - 53*X^3 - 51*X^2 - 31*X - 13
	     ,-1.15929e-8, -3*X^4 - 20*X^3 + 180*X^2 - 14*X + 90
	     ,3.809606e-8, 25*X^3 - 22*X^2 - 451*X - 461
	     ,1.535950e-7, 737*X^2 - 3597*X - 877
$\ulam{5}{9}$,8.039298e-10, 2*X^9 - 6*X^8 + 5*X^7 - 9*X^6 + 9*X^5 - 7*X^4 + 4*X^3 - 12*X^2 - 3*X - 2
             ,-1.30547e-9, X^8 - 8*X^6 - X^5 + 7*X^4 + 11*X^3 + 4*X^2 + 14*X - 2
	     ,1.915829e-9, 5*X^6 - 15*X^5 - 4*X^4 + 11*X^3 + 25*X^2 + 33*X - 14
	     ,-2.77496e-9, 3*X^5 - 15*X^4 + 24*X^3 - 25*X^2 + 15*X + 37
	     ,-2.96466e-9, 2*X^7 - 10*X^6 + 15*X^5 - 2*X^4 - 6*X^3 - 13*X^2 + 8*X - 17
	     ,-1.11004e-8, -14*X^4 - 12*X^3 + 71*X^2 + 107*X + 42
	     ,1.368867e-8, 74*X^3 - 280*X^2 + 221*X + 35
	     ,-1.16614e-7, 316*X^2 - 446*X - 893
$\ulam{3}{8}$,3.646576e-10, -3*X^9 + 9*X^8 - 2*X^7 + 4*X^6 + 14*X^5 + 3*X^4 - 6*X^2 - 7*X - 16
             ,-7.76923e-10, 2*X^8 - 4*X^7 - 2*X^6 - 12*X^5 - 9*X^4 + 4*X^3 + 2*X^2 - 12*X - 16
	     ,-2.77283e-9, X^6 - 12*X^4 + 16*X^3 - 23*X^2 - 6*X - 10
	     ,-2.77283e-9, X^6 - 12*X^4 + 16*X^3 - 23*X^2 - 6*X - 10
	     ,-4.14675e-9, -2*X^5 + 8*X^4 - 15*X^3 + 23*X^2 + 32*X - 42
	     ,9.993478e-9, -31*X^4 + 114*X^3 - 36*X^2 - 44*X - 58
	     ,4.273914e-8, 27*X^3 + 3*X^2 - 176*X - 281
	     ,1.660466e-7, 502*X^2 - 1669*X + 365
$\ulam{3}{4}$,4.499902e-10, -5*X^5 + 13*X^4 - X^3 + 5*X^2 + 16*X + 17
             ,4.499902e-10, -5*X^5 + 13*X^4 - X^3 + 5*X^2 + 16*X + 17
	     ,4.499902e-10, -5*X^5 + 13*X^4 - X^3 + 5*X^2 + 16*X + 17
	     ,4.499902e-10, -5*X^5 + 13*X^4 - X^3 + 5*X^2 + 16*X + 17
	     ,4.499902e-10, -5*X^5 + 13*X^4 - X^3 + 5*X^2 + 16*X + 17
	     ,-3.03042e-9, -20*X^4 + 83*X^3 - 23*X^2 - 136*X - 28
	     ,-2.03161e-8, -53*X^3 + 82*X^2 + 153*X + 121
